program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
sbs_happytogether,20110919,20110925,twitter,weekly,1867,,1283,,,,,,,,,,,1867,10,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,KBS2,THU
sbs_newsunday,20110815,20110821,me2day,weekly,266,16846,219,28,697,46,3,2,,42,3,2,,0.126609149,12,2011-09-26 16:54,2011-09-26 16:54,0.1729,0.0113,0.1918,0.0137,0.0652,0.0714,KO,entertain,SBS,SUN
sbs_newsunday,20110822,20110828,me2day,weekly,253,17124,211,3,268,43,2,,,37,2,,,0.123948036,14,2011-09-26 16:54,2011-09-26 16:54,0.17,0.0079,0.1754,0.0095,0.0465,0.0541,KO,entertain,SBS,SUN
sbs_newsunday,20110905,20110911,me2day,weekly,61,222,56,,38,15,,,,14,,,,0.113691686,13,2011-09-26 16:54,2011-09-26 16:54,0.2459,,0.25,,,,KO,entertain,SBS,SUN
sbs_newsunday,20110919,20110925,me2day,weekly,424,651,326,82,102,,,,,,,,,0.131318494,9,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,SBS,SUN
sbs_newsunday,20110919,20110925,twitter,weekly,2563,,1678,,,,,,,,,,,2563,6,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,SBS,SUN
sbs_scent,20110815,20110821,me2day,weekly,542,28969,451,37,1668,87,6,2,1,78,6,2,1,0.144398916,8,2011-09-26 16:54,2011-09-26 16:54,0.1605,0.0111,0.1729,0.0133,0.069,0.0769,KO,drama,SBS,"SAT,SUN"
sbs_scent,20110822,20110828,me2day,weekly,556,59559,462,65,239,54,5,8,1,51,5,8,1,0.138269243,5,2011-09-26 16:54,2011-09-26 16:54,0.0971,0.009,0.1104,0.0108,0.0926,0.098,KO,drama,SBS,"SAT,SUN"
sbs_scent,20110905,20110911,me2day,weekly,46,3353,45,102,1993,3,,3,5,3,,3,5,0.122275821,2,2011-09-26 16:54,2011-09-26 16:54,0.0652,,0.0667,,,,KO,drama,SBS,"SAT,SUN"
sbs_starking,20110815,20110821,me2day,weekly,119,291,96,,22,4,,,,4,,,,0.116383334,16,2011-09-26 16:54,2011-09-26 16:54,0.0336,,0.0417,,,,KO,entertain,SBS,SAT
sbs_starking,20110822,20110828,me2day,weekly,229,627,195,,70,11,2,,,11,2,,,0.12186087,15,2011-09-26 16:54,2011-09-26 16:54,0.048,0.0087,0.0564,0.0103,0.1818,0.1818,KO,entertain,SBS,SAT
sbs_starking,20110905,20110911,me2day,weekly,23,24,23,2,10,1,,,,1,,,,0.11174513,22,2011-09-26 16:54,2011-09-26 16:54,0.0435,,0.0435,,,,KO,entertain,SBS,SAT
sbs_starking,20110919,20110925,me2day,weekly,368,939,272,83,108,,,,,,,,,0.128674716,10,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,SBS,SAT
sbs_starking,20110919,20110925,twitter,weekly,161,,145,,,,,,,,,,,161,19,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,SBS,SAT
sbs_strongheart,20110815,20110821,me2day,weekly,204,2675,165,,400,5,3,,,5,3,,,0.12223768,14,2011-09-26 16:54,2011-09-26 16:54,0.0245,0.0147,0.0303,0.0182,0.6,0.6,KO,entertain,SBS,TUE
sbs_strongheart,20110822,20110828,me2day,weekly,400,905,284,,180,26,8,,,24,8,,,0.13054426,10,2011-09-26 16:54,2011-09-26 16:54,0.065,0.02,0.0845,0.0282,0.3077,0.3333,KO,entertain,SBS,TUE
sbs_strongheart,20110905,20110911,me2day,weekly,87,135,76,4,63,7,2,,,7,2,,,0.115051331,9,2011-09-26 16:54,2011-09-26 16:54,0.0805,0.023,0.0921,0.0263,0.2857,0.2857,KO,entertain,SBS,TUE
sbs_strongheart,20110919,20110925,me2day,weekly,528,1772,389,203,320,,,,,,,,,0.1373184,7,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,SBS,TUE
sbs_strongheart,20110919,20110925,twitter,weekly,3016,,2125,,,,,,,,,,,3016,3,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,SBS,TUE
