program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
mbc_thousand,20110822,20110828,me2day,weekly,71,48,54,,18,5,,,,3,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0704,,0.0556,,,,KO,drama,MBC,"SAT,SUN"
mbc_thousand,20110905,20110911,me2day,weekly,41,19,28,,17,1,,,,1,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.0244,,0.0357,,,,KO,drama,MBC,"SAT,SUN"
mbc_three,20110815,20110821,me2day,weekly,61,212,55,,25,3,2,,,3,2,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0492,0.0328,0.0545,0.0364,0.6667,0.6667,KO,entertain,MBC,SAT
mbc_three,20110822,20110828,me2day,weekly,53,185,47,,73,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0755,,0.0851,,,,KO,entertain,MBC,SAT
mbc_three,20110905,20110911,me2day,weekly,19,17,18,,7,,,,,,,,,,,2011-09-19 17:05,2011-09-19 17:05,,,,,,,KO,entertain,MBC,SAT
mbc_urpretty,20110815,20110821,me2day,weekly,29,55,11,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,drama,MBC,MON~FRI
mbc_urpretty,20110822,20110828,me2day,weekly,31,1,14,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,drama,MBC,MON~FRI
mbc_urpretty,20110905,20110911,me2day,weekly,38,8,11,,0,,,,,,,,,,,2011-09-19 17:05,2011-09-19 17:05,,,,,,,KO,drama,MBC,MON~FRI
mbc_wedding,20110815,20110821,me2day,weekly,281,10192,243,68,209,42,5,6,1,42,5,5,1,,,2011-09-06 19:20,2011-09-06 19:20,0.1495,0.0178,0.1728,0.0206,0.119,0.119,KO,entertain,MBC,SAT
mbc_wedding,20110822,20110828,me2day,weekly,288,37097,265,39,187,36,11,3,1,35,11,3,1,,,2011-09-06 19:20,2011-09-06 19:20,0.125,0.0382,0.1321,0.0415,0.3056,0.3143,KO,entertain,MBC,SAT
mbc_wedding,20110905,20110911,me2day,weekly,215,926,172,16,103,25,4,3,2,25,4,3,2,,,2011-09-19 17:05,2011-09-19 17:05,0.1163,0.0186,0.1453,0.0233,0.16,0.16,KO,entertain,MBC,SAT
sbs_baekdongsoo,20110815,20110821,me2day,weekly,472,989,370,17,170,22,7,3,,22,6,3,,,,2011-09-06 19:20,2011-09-06 19:20,0.0466,0.0148,0.0595,0.0162,0.3182,0.2727,KO,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110822,20110828,me2day,weekly,460,831,340,53,178,31,11,,,29,11,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0674,0.0239,0.0853,0.0324,0.3548,0.3793,KO,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110905,20110911,me2day,weekly,93,305,84,92,113,9,2,5,,9,2,5,,,,2011-09-19 17:05,2011-09-19 17:05,0.0968,0.0215,0.1071,0.0238,0.2222,0.2222,KO,drama,SBS,"MON,TUE"
sbs_besideme,20110815,20110821,me2day,weekly,95,27045,86,38,54,25,3,13,2,25,3,10,1,,,2011-09-06 19:20,2011-09-06 19:20,0.2632,0.0316,0.2907,0.0349,0.12,0.12,KO,drama,SBS,"SAT,SUN"
sbs_besideme,20110822,20110828,me2day,weekly,72,430,69,,139,18,2,,,18,2,,,,,2011-09-06 19:20,2011-09-06 19:20,0.25,0.0278,0.2609,0.029,0.1111,0.1111,KO,drama,SBS,"SAT,SUN"
sbs_besideme,20110905,20110911,me2day,weekly,51,269,46,,139,20,,,,18,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.3922,,0.3913,,,,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110815,20110821,me2day,weekly,931,52941,718,42,390,113,10,2,3,105,10,2,3,,,2011-09-06 19:20,2011-09-06 19:20,0.1214,0.0107,0.1462,0.0139,0.0885,0.0952,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110822,20110828,me2day,weekly,938,7416,712,70,544,99,7,5,1,90,7,5,1,,,2011-09-06 19:20,2011-09-06 19:20,0.1055,0.0075,0.1264,0.0098,0.0707,0.0778,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110905,20110911,me2day,weekly,164,5000,139,21,165,17,2,5,1,16,2,4,1,,,2011-09-19 17:05,2011-09-19 17:05,0.1037,0.0122,0.1151,0.0144,0.1176,0.125,KO,drama,SBS,"SAT,SUN"
sbs_dangsin,20110815,20110821,me2day,weekly,59,28,37,,13,,1,,,,1,,,,,2011-09-06 19:20,2011-09-06 19:20,,0.0169,,0.027,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110822,20110828,me2day,weekly,48,41,31,,31,1,,,,1,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0208,,0.0323,,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110905,20110911,me2day,weekly,58,37,30,21,13,,,1,,,,1,,,,2011-09-19 17:05,2011-09-19 17:05,,,,,,,KO,drama,SBS,MON~FRI
