program_id,start_date,end_date,nation,duration_type,watch_rate,rank,register_date,update_date,category,channel,air_cycle
kbs2_princess,20110905,20110911,KO,weekly,0.196,3,,,drama,KBS2,"WED,THU"
kbs2_princess,20110912,20110918,KO,weekly,0.215,3,,,drama,KBS2,"WED,THU"
kbs2_princess,20110919,20110925,KO,weekly,0.201,3,,,drama,KBS2,"WED,THU"
kbs2_spy,20110815,20110821,KO,weekly,0.058,25,,,drama,KBS2,"MON,TUE"
kbs2_spy,20110822,20110828,KO,weekly,0.077,25,,,drama,KBS2,"MON,TUE"
kbs_homewomen,20110815,20110821,KO,weekly,0.217,2,,,drama,KBS1,MON~FRI
kbs_homewomen,20110822,20110828,KO,weekly,0.222,1,,,drama,KBS1,MON~FRI
kbs_homewomen,20110905,20110911,KO,weekly,0.243,1,,,drama,KBS1,MON~FRI
kbs_homewomen,20110912,20110918,KO,weekly,0.226,2,,,drama,KBS1,MON~FRI
kbs_homewomen,20110919,20110925,KO,weekly,0.257,1,,,drama,KBS1,MON~FRI
mbc_challenge,20110815,20110821,KO,weekly,0.153,9,,,entertain,MBC,SAT
mbc_challenge,20110822,20110828,KO,weekly,0.146,11,,,entertain,MBC,SAT
mbc_challenge,20110905,20110911,KO,weekly,0.168,5,,,entertain,MBC,SAT
mbc_challenge,20110912,20110918,KO,weekly,0.16,9,,,entertain,MBC,SAT
mbc_challenge,20110919,20110925,KO,weekly,0.158,9,,,entertain,MBC,SAT
mbc_fallinlove,20110815,20110821,KO,weekly,0.055,26,,,drama,MBC,"WED,THU"
mbc_gyebaek,20110815,20110821,KO,weekly,0.106,19,,,drama,MBC,"MON,TUE"
mbc_gyebaek,20110822,20110828,KO,weekly,0.118,17,,,drama,MBC,"MON,TUE"
mbc_gyebaek,20110905,20110911,KO,weekly,0.096,19,,,drama,MBC,"MON,TUE"
mbc_gyebaek,20110912,20110918,KO,weekly,0.096,17,,,drama,MBC,"MON,TUE"
mbc_gyebaek,20110919,20110925,KO,weekly,0.111,17,,,drama,MBC,"MON,TUE"
mbc_sundaynight_house,20110815,20110821,KO,weekly,0.102,20,,,entertain,MBC,SUN
mbc_sundaynight_house,20110822,20110828,KO,weekly,0.093,19,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110815,20110821,KO,weekly,0.102,21,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110822,20110828,KO,weekly,0.093,20,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110905,20110911,KO,weekly,0.086,21,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110912,20110918,KO,weekly,0.099,16,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110919,20110925,KO,weekly,0.118,15,,,entertain,MBC,SUN
mbc_thousand,20110815,20110821,KO,weekly,0.084,24,,,drama,MBC,"SAT,SUN"
mbc_thousand,20110822,20110828,KO,weekly,0.08,22,,,drama,MBC,"SAT,SUN"
mbc_thousand,20110905,20110911,KO,weekly,0.082,23,,,drama,MBC,"SAT,SUN"
mbc_thousand,20110912,20110918,KO,weekly,0.093,18,,,drama,MBC,"SAT,SUN"
mbc_thousand,20110919,20110925,KO,weekly,0.095,21,,,drama,MBC,"SAT,SUN"
mbc_three,20110815,20110821,KO,weekly,0.111,16,,,entertain,MBC,SAT
mbc_three,20110822,20110828,KO,weekly,0.121,16,,,entertain,MBC,SAT
mbc_three,20110905,20110911,KO,weekly,0.121,16,,,entertain,MBC,SAT
mbc_three,20110912,20110918,KO,weekly,0.121,15,,,entertain,MBC,SAT
mbc_three,20110919,20110925,KO,weekly,0.115,16,,,entertain,MBC,SAT
mbc_urpretty,20110815,20110821,KO,weekly,0.12,15,,,drama,MBC,MON~FRI
mbc_urpretty,20110822,20110828,KO,weekly,0.135,13,,,drama,MBC,MON~FRI
mbc_urpretty,20110905,20110911,KO,weekly,0.136,12,,,drama,MBC,MON~FRI
mbc_urpretty,20110912,20110918,KO,weekly,0.13,13,,,drama,MBC,MON~FRI
mbc_urpretty,20110919,20110925,KO,weekly,0.132,14,,,drama,MBC,MON~FRI
mbc_wedding,20110815,20110821,KO,weekly,0.087,23,,,entertain,MBC,SAT
mbc_wedding,20110822,20110828,KO,weekly,0.079,23,,,entertain,MBC,SAT
mbc_wedding,20110905,20110911,KO,weekly,0.087,20,,,entertain,MBC,SAT
mbc_wedding,20110912,20110918,KO,weekly,0.079,21,,,entertain,MBC,SAT
mbc_wedding,20110919,20110925,KO,weekly,0.081,22,,,entertain,MBC,SAT
nbc_americagottalent,20110905,20110911,US,weekly,0.242,1,,,,NBC,"TUE,WED"
