user,create_date,total_tweet_count,positive_tweet_count,negative_tweet_count
DalaiLama,2011-06-14,1,1,0
DalaiLama,2011-06-15,1,0,1
DalaiLama,2011-06-16,1,1,0
DalaiLama,2011-06-17,1,1,0
DalaiLama,2011-06-18,1,1,0
DalaiLama,2011-06-20,1,0,0
DalaiLama,2011-06-21,1,1,0
DalaiLama,2011-06-22,1,0,0
DalaiLama,2011-06-23,1,0,1
DalaiLama,2011-06-24,1,1,0
DalaiLama,2011-06-26,1,0,0
DalaiLama,2011-06-27,1,0,1
DalaiLama,2011-06-28,1,1,0
DalaiLama,2011-06-29,1,1,0
DalaiLama,2011-06-30,1,1,0
DalaiLama,2011-07-04,1,0,0
DalaiLama,2011-07-05,1,0,0
DalaiLama,2011-07-06,1,0,0
DalaiLama,2011-07-07,1,1,0
DalaiLama,2011-07-08,1,0,0
kingsthings,2011-05-13,3,2,0
kingsthings,2011-05-14,1,1,0
kingsthings,2011-05-15,1,0,0
kingsthings,2011-05-16,1,1,0
kingsthings,2011-05-17,2,1,0
kingsthings,2011-05-18,2,1,1
kingsthings,2011-05-19,3,3,0
kingsthings,2011-05-22,3,2,0
kingsthings,2011-05-25,2,0,0
kingsthings,2011-05-26,3,2,0
kingsthings,2011-05-27,2,0,0
kingsthings,2011-05-28,1,0,0
kingsthings,2011-06-01,1,0,0
kingsthings,2011-06-03,2,2,0
kingsthings,2011-06-06,2,2,0
kingsthings,2011-06-07,4,1,0
kingsthings,2011-06-08,1,0,0
kingsthings,2011-06-09,7,5,0
kingsthings,2011-06-10,1,1,0
kingsthings,2011-06-11,2,2,0
kingsthings,2011-06-15,1,1,0
kingsthings,2011-06-16,1,0,0
kingsthings,2011-06-17,3,3,0
kingsthings,2011-06-18,1,1,0
kingsthings,2011-06-21,1,1,0
kingsthings,2011-06-27,1,1,1
kingsthings,2011-06-29,3,2,1
kingsthings,2011-06-30,2,1,1
kingsthings,2011-07-03,1,1,0
kingsthings,2011-07-06,1,0,1
kingsthings,2011-07-07,2,2,0
kingsthings,2011-07-08,3,3,0
ladygaga,2011-05-13,1,0,0
ladygaga,2011-05-14,6,5,1
ladygaga,2011-05-15,1,1,0
ladygaga,2011-05-16,4,2,1
ladygaga,2011-05-17,6,5,2
ladygaga,2011-05-18,10,6,0
ladygaga,2011-05-19,7,4,1
ladygaga,2011-05-20,2,0,2
ladygaga,2011-05-22,2,2,0
ladygaga,2011-05-23,52,32,7
ladygaga,2011-05-27,25,15,4
ladygaga,2011-05-28,6,6,0
ladygaga,2011-05-29,1,0,0
ladygaga,2011-05-31,1,1,0
ladygaga,2011-06-02,2,1,1
ladygaga,2011-06-05,6,3,2
ladygaga,2011-06-07,2,2,0
ladygaga,2011-06-08,1,1,0
ladygaga,2011-06-09,1,1,0
ladygaga,2011-06-10,2,0,1
ladygaga,2011-06-12,1,1,1
ladygaga,2011-06-13,1,1,0
ladygaga,2011-06-14,1,1,0
ladygaga,2011-06-15,11,6,0
ladygaga,2011-06-16,1,1,0
ladygaga,2011-06-17,10,7,1
ladygaga,2011-06-18,2,2,0
ladygaga,2011-06-19,6,4,0
ladygaga,2011-06-21,1,1,0
ladygaga,2011-06-22,2,0,0
ladygaga,2011-06-23,9,6,1
ladygaga,2011-06-24,4,2,0
ladygaga,2011-06-25,4,1,2
ladygaga,2011-06-26,1,1,0
ladygaga,2011-06-28,3,1,0
ladygaga,2011-06-29,2,0,2
ladygaga,2011-06-30,2,2,0
ladygaga,2011-07-02,2,0,0
ladygaga,2011-07-03,3,3,0
ladygaga,2011-07-04,2,1,0
ladygaga,2011-07-05,1,0,1
ladygaga,2011-07-06,15,7,2
ladygaga,2011-07-07,1,0,0
ladygaga,2011-07-08,1,1,0
mashable,2011-05-13,42,14,4
mashable,2011-05-14,37,10,2
mashable,2011-05-15,19,3,1
mashable,2011-05-16,16,2,2
mashable,2011-05-17,48,14,2
mashable,2011-05-18,49,13,4
mashable,2011-05-19,53,14,3
mashable,2011-05-20,49,18,1
mashable,2011-05-21,40,11,2
mashable,2011-05-22,9,2,1
mashable,2011-05-23,18,3,1
mashable,2011-05-24,45,12,4
mashable,2011-05-25,43,11,1
